,sigma,env: rf,env: S0
2020-01-03,0.006113193543136362,5.986543241132125e-05,3234.85
2020-01-10,0.005725631627513617,5.986543241132125e-05,3265.35
2020-01-17,0.004988669553350771,6.0647170438077325e-05,3329.62
2020-01-24,0.006163921957918549,6.0647170438077325e-05,3295.47
2020-01-31,0.006356450481421338,6.142875511461199e-05,3225.52
2020-02-07,0.006164098148683603,6.18194899655311e-05,3327.71
2020-02-14,0.014458856978928491,6.299146465793548e-05,3380.16
2020-02-21,0.006557539897559681,6.299146465793548e-05,3337.75
2020-02-28,0.017676328720070467,5.71281408126012e-05,2954.22
2020-03-06,0.016235921298230656,3.122651284970246e-05,2972.37
2020-03-13,0.023654737418284284,1.3073763831750185e-05,2711.02
2020-03-20,0.02846946696553273,1.5869854708139286e-06,2304.92
2020-03-27,0.026277732811373536,3.968056356828953e-07,2541.47
2020-04-03,0.019793755542711008,3.5698287639274184e-06,2488.65
2020-04-17,0.015641236693386587,4.759061227099792e-06,2874.56
2020-04-24,0.014621076242740677,3.966279028766451e-06,2836.74
2020-05-01,0.015312348647400198,3.966279028766451e-06,2830.71
2020-05-08,0.011862416901792591,3.966279028766451e-06,2929.8
2020-05-15,0.011553953440230746,3.5698287639274184e-06,2863.7
2020-05-22,0.011306467794542025,3.5698287639274184e-06,2955.45
2020-05-29,0.011544887932282585,5.155393176359269e-06,3044.31
2020-06-05,0.009335253632659543,5.155393176359269e-06,3193.93
2020-06-12,0.013756286344728206,5.551685702931408e-06,3041.31
2020-06-19,0.011717885584990578,5.155393176359269e-06,3097.74
2020-06-26,0.020431508026948035,4.759061227099792e-06,3009.05
2020-07-10,0.010795023976522537,3.966279028766451e-06,3185.04
2020-07-17,0.009971926326411036,4.362689847159373e-06,3224.73
2020-07-24,0.009749149000596175,3.966279028766451e-06,3215.63
2020-07-31,0.009349164083269789,3.5698287639274184e-06,3271.12
2020-08-07,0.011169463344191943,3.1733390453148047e-06,3351.28
2020-08-14,0.00841587340527313,3.5698287639274184e-06,3372.85
2020-08-21,0.008581609615839623,2.77680986426887e-06,3397.16
2020-08-28,0.008792020645453074,3.5698287639274184e-06,3508.01
2020-09-04,0.01128631685201186,3.5698287639274184e-06,3426.96
2020-09-11,0.010598088478971195,3.966279028766451e-06,3340.97
2020-09-18,0.011470772347855708,3.5698287639274184e-06,3319.47
2020-09-25,0.011550128559750005,3.1733390453148047e-06,3298.46
2020-10-02,0.012532007706889335,3.966279028766451e-06,3348.42
2020-10-09,0.010501278149501239,3.966279028766451e-06,3477.14
2020-10-16,0.010130391476125286,3.5698287639274184e-06,3483.81
2020-10-23,0.010698146967286085,3.1733390453148047e-06,3465.39
2020-10-30,0.016362962779162382,3.1733390453148047e-06,3269.96
2020-11-06,0.009962684988968261,3.966279028766451e-06,3509.44
2020-11-13,0.009101011092527214,3.966279028766451e-06,3585.15
2020-11-20,0.008563722304938256,3.5698287639274184e-06,3557.54
2020-11-27,0.008502903907925992,3.5698287639274184e-06,3638.35
2020-12-04,0.008143205243055663,2.77680986426887e-06,3699.12
2020-12-11,0.009116351359479375,3.1733390453148047e-06,3663.46
2020-12-18,0.008992335997446104,3.1733390453148047e-06,3709.41
2021-01-08,0.0087064467435392,3.1733390453148047e-06,3824.68
2021-01-15,0.008306691976707971,3.1733390453148047e-06,3768.25
2021-01-22,0.008261153020986333,2.77680986426887e-06,3841.47
2021-01-29,0.012011115018158337,2.77680986426887e-06,3714.24
2021-02-05,0.008323364393418351,7.935717540874521e-07,3886.83
2021-02-12,0.008032067229758105,1.1902983632072761e-06,3934.83
2021-02-19,0.007586119744671602,1.1902983632072761e-06,3906.71
2021-02-26,0.010034702241757164,1.5869854708139286e-06,3811.15
2021-03-05,0.009354239972069571,1.5869854708139286e-06,3841.94
2021-03-12,0.008171649886289444,1.1902983632072761e-06,3943.34
2021-03-19,0.0071925766959260555,3.968056356828953e-07,3913.1
2021-03-26,0.00706027152451844,7.935717540874521e-07,3974.54
2021-04-09,0.006396247606677602,7.935717540874521e-07,4128.8
2021-04-16,0.006489419131843289,7.935717540874521e-07,4185.47
2021-04-23,0.006713292534804718,3.968056356828953e-07,4180.17
2021-04-30,0.0070036682733986885,3.968056356828953e-07,4181.17
2021-05-07,0.006637532782037279,3.968056356828953e-07,4232.6
2021-05-14,0.007429902890054158,3.968056356828953e-07,4173.85
2021-05-21,0.007504440452237487,0.0,4155.86
2021-05-28,0.005785958965076192,3.968056356828953e-07,4204.11
2021-06-04,0.006375294511340446,3.968056356828953e-07,4229.89
2021-06-11,0.009201199702384302,3.968056356828953e-07,4247.44
2021-06-18,0.0069115010784853645,1.98363308512306e-06,4166.45
2021-06-25,0.00576945464239409,1.98363308512306e-06,4280.7
2021-07-02,0.0047052075416095605,1.98363308512306e-06,4352.34
2021-07-09,0.006085034062904918,2.3802412136841866e-06,4369.55
2021-07-16,0.006238746413203522,1.98363308512306e-06,4327.16
2021-07-23,0.006249875596043073,1.98363308512306e-06,4411.79
2021-07-30,0.00713301383724792,1.98363308512306e-06,4395.26
2021-08-06,0.006108213147050004,1.5869854708139286e-06,4436.52
2021-08-13,0.005810852236028013,1.5869854708139286e-06,4468.0
2021-08-20,0.006624578866738364,1.5869854708139286e-06,4441.67
2021-08-27,0.005826917417046717,1.5869854708139286e-06,4509.37
2021-09-03,0.005981633486900031,1.5869854708139286e-06,4535.43
2021-09-10,0.0072484280514443075,2.3802412136841866e-06,4458.58
2021-09-17,0.010198237818315829,2.3802412136841866e-06,4432.99
2021-09-24,0.005886082639764795,2.3802412136841866e-06,4455.48
2021-10-01,0.007938097018585269,3.1733390453148047e-06,4357.04
2021-10-08,0.006934663630441177,7.935717540874521e-07,4391.34
2021-10-15,0.00685314325265281,1.5869854708139286e-06,4471.37
2021-10-22,0.005384072560872434,1.98363308512306e-06,4544.9
