,sigma,env: rf,env: S0
2020-01-03,0.001999997879329465,5.986543241132125e-05,3234.85
2020-01-10,0.0019992852316480987,5.986543241132125e-05,3265.35
2020-01-17,0.0019977591255312135,6.0647170438077325e-05,3329.62
2020-01-24,0.001996766079744894,6.0647170438077325e-05,3295.47
2020-01-31,0.0019965887090638164,6.142875511461199e-05,3225.52
2020-02-07,0.001996578537648318,6.18194899655311e-05,3327.71
2020-02-14,0.0019965315156302878,6.299146465793548e-05,3380.16
2020-02-21,0.001996509226475091,6.299146465793548e-05,3337.75
2020-02-28,0.0019989422203249047,5.71281408126012e-05,2954.22
2020-03-06,0.002671414298661099,3.122651284970246e-05,2972.37
2020-03-13,0.023861830555061952,1.3073763831750185e-05,2711.02
2020-03-20,0.028676495050592027,1.5869854708139286e-06,2304.92
2020-03-27,0.026616026186228665,3.968056356828953e-07,2541.47
2020-04-03,0.01989951957555068,3.5698287639274184e-06,2488.65
2020-04-17,0.01566243797736334,4.759061227099792e-06,2874.56
2020-04-24,0.014643556219276257,3.966279028766451e-06,2836.74
2020-05-01,0.015270758554379775,3.966279028766451e-06,2830.71
2020-05-08,0.012222136038672282,3.966279028766451e-06,2929.8
2020-05-15,0.01196769361688154,3.5698287639274184e-06,2863.7
2020-05-22,0.011554836518260338,3.5698287639274184e-06,2955.45
2020-05-29,0.011507712719996137,5.155393176359269e-06,3044.31
2020-06-05,0.009305719727679481,5.155393176359269e-06,3193.93
2020-06-12,0.013509299029560783,5.551685702931408e-06,3041.31
2020-06-19,0.011754868014341441,5.155393176359269e-06,3097.74
2020-06-26,0.014507092018450863,4.759061227099792e-06,3009.05
2020-07-10,0.010991934751226643,3.966279028766451e-06,3185.04
2020-07-17,0.009802975567679532,4.362689847159373e-06,3224.73
2020-07-24,0.009802917752982924,3.966279028766451e-06,3215.63
2020-07-31,0.009408730914801162,3.5698287639274184e-06,3271.12
2020-08-07,0.009062008330345955,3.1733390453148047e-06,3351.28
2020-08-14,0.008673436381311286,3.5698287639274184e-06,3372.85
2020-08-21,0.008656337512426013,2.77680986426887e-06,3397.16
2020-08-28,0.008632685228499167,3.5698287639274184e-06,3508.01
2020-09-04,0.010797894029771585,3.5698287639274184e-06,3426.96
2020-09-11,0.010793450804990275,3.966279028766451e-06,3340.97
2020-09-18,0.011440665350368792,3.5698287639274184e-06,3319.47
2020-09-25,0.011440670035046466,3.1733390453148047e-06,3298.46
2020-10-02,0.012137926681033522,3.966279028766451e-06,3348.42
2020-10-09,0.010414064961475124,3.966279028766451e-06,3477.14
2020-10-16,0.010233712889200629,3.5698287639274184e-06,3483.81
2020-10-23,0.01021535340843076,3.1733390453148047e-06,3465.39
2020-10-30,0.016529156662801216,3.1733390453148047e-06,3269.96
2020-11-06,0.010241536147367064,3.966279028766451e-06,3509.44
2020-11-13,0.008627756457681362,3.966279028766451e-06,3585.15
2020-11-20,0.008574609017242947,3.5698287639274184e-06,3557.54
2020-11-27,0.008570330296973249,3.5698287639274184e-06,3638.35
2020-12-04,0.008571365452674276,2.77680986426887e-06,3699.12
2020-12-11,0.008571375999416245,3.1733390453148047e-06,3663.46
2020-12-18,0.008571356509781195,3.1733390453148047e-06,3709.41
2021-01-08,0.008570215997068937,3.1733390453148047e-06,3824.68
2021-01-15,0.008544321723998856,3.1733390453148047e-06,3768.25
2021-01-22,0.008304888098859368,2.77680986426887e-06,3841.47
2021-01-29,0.012083427876082749,2.77680986426887e-06,3714.24
2021-02-05,0.00831762762984276,7.935717540874521e-07,3886.83
2021-02-12,0.008047233814220334,1.1902983632072761e-06,3934.83
2021-02-19,0.008044365040860509,1.1902983632072761e-06,3906.71
2021-02-26,0.010156887216076015,1.5869854708139286e-06,3811.15
2021-03-05,0.009155298642353885,1.5869854708139286e-06,3841.94
2021-03-12,0.00787701962376305,1.1902983632072761e-06,3943.34
2021-03-19,0.007631760649042454,3.968056356828953e-07,3913.1
2021-03-26,0.006435162360813496,7.935717540874521e-07,3974.54
2021-04-09,0.006435162360813496,7.935717540874521e-07,4128.8
2021-04-16,0.006151865660390929,7.935717540874521e-07,4185.47
2021-04-23,0.006151865660390929,3.968056356828953e-07,4180.17
2021-04-30,0.006302398987204695,3.968056356828953e-07,4181.17
2021-05-07,0.006302101241444792,3.968056356828953e-07,4232.6
