,v_0,theta,kappa,sigma_v,rho,env: rf,env: S0
2020-01-03,0.016698961766039418,0.005962502003831723,0.3760821509261227,9.960458438917145,-0.9330623054703745,5.986543241132125e-05,3234.85
2020-01-10,0.009844319071099695,0.004555154513780563,0.3823589454914181,9.898821442656429,-0.8978885645556319,5.986543241132125e-05,3265.35
2020-01-17,0.0060059047699882835,0.004648869832554547,0.4208109713480679,9.817172096654357,-0.9379936348666327,6.0647170438077325e-05,3329.62
2020-01-24,0.012199664252401671,0.005558725786450155,0.414999594141884,8.367956940651277,-0.9125131099773703,6.0647170438077325e-05,3295.47
2020-01-31,0.02911398676383934,0.005217036664599388,0.24523467108842492,8.188574726918946,-0.7781082689969651,6.142875511461199e-05,3225.52
2020-02-07,0.014260935868045617,0.004281740666364964,0.3126001557027863,9.989113404545325,-0.7555618709057499,6.18194899655311e-05,3327.71
2020-02-14,0.007796601513211402,0.004616311880260414,0.36924074321848277,8.133600534512968,-0.8727337157222547,6.299146465793548e-05,3380.16
2020-02-21,0.023343782847192886,0.007864491133840579,0.313972415228256,8.043196139269924,-0.9081398904742044,6.299146465793548e-05,3337.75
2020-02-28,0.29735864144430624,0.00965445119907099,0.27074909077989395,9.999414513314553,-0.9999851724113743,5.71281408126012e-05,2954.22
2020-03-06,0.12004713881589198,0.016074793267990595,0.18721273385069787,7.811368501089205,-0.909391904095928,3.122651284970246e-05,2972.37
2020-03-13,0.09193470361866271,0.007843345343241201,0.4755543542560373,4.464609644890749,-0.5977140754678523,1.3073763831750185e-05,2711.02
2020-03-20,0.20099374245117926,0.023896924691575654,0.20759246565864486,7.297600605877794,-0.5728745163569515,1.5869854708139286e-06,2304.92
2020-03-27,0.14905749402463628,0.016043632249366155,0.10850681876473398,6.35469754884806,-0.5878689073305539,3.968056356828953e-07,2541.47
2020-04-03,0.05082140374130768,0.00521913400182896,0.650864602465825,4.845312839403778,-0.42576702979382086,3.5698287639274184e-06,2488.65
2020-04-17,0.05442457564050175,0.01451718313408293,0.19706411532340531,5.486822015077848,-0.6950003756027339,4.759061227099792e-06,2874.56
2020-04-24,0.03069812666635625,0.010404935176094256,0.33064691572573085,6.16859272005585,-0.5277508494187141,3.966279028766451e-06,2836.74
2020-05-01,0.024791183126395694,0.004376312084495606,0.5932561470055232,4.316984714934816,-0.5601259977371549,3.966279028766451e-06,2830.71
2020-05-08,0.02446419738733589,0.007861043357521727,0.4067409148661758,6.584005626880835,-0.6699513617233941,3.966279028766451e-06,2929.8
2020-05-15,0.010792495341442767,0.008447176082407526,0.5317497508618731,7.38713056786995,-0.7193423715770746,3.5698287639274184e-06,2863.7
2020-05-22,0.007911746653814588,0.007169220999954411,0.4586091952774525,7.190685474813333,-0.48858043905036974,3.5698287639274184e-06,2955.45
2020-05-29,0.011144531503619446,0.008013050959621416,0.5162696217561885,7.290337149806737,-0.6872780677096387,5.155393176359269e-06,3044.31
2020-06-05,0.03474099032303774,0.0092842982844709,0.3153845383929256,8.045156519803125,-0.8511541431850959,5.155393176359269e-06,3193.93
2020-06-12,0.04749042583019847,0.009925062976714772,0.2660643522011719,5.403424550144066,-0.6635134963940204,5.551685702931408e-06,3041.31
2020-06-19,0.035494952753843095,0.009728227675660063,0.360179917532281,7.937623698757453,-0.6689895557438614,5.155393176359269e-06,3097.74
2020-06-26,0.02760173665792838,0.008214092059505749,0.23506478671656525,3.5121375443313485,-0.6403828117720712,4.759061227099792e-06,3009.05
2020-07-10,0.009977570917036771,0.008619309563235412,0.5382303950148466,7.243295334574367,-0.8310514842065329,3.966279028766451e-06,3185.04
2020-07-17,0.02931399053492127,0.009855239618570757,0.34925783869415383,7.629487965233674,-0.8516966483234331,4.362689847159373e-06,3224.73
2020-07-24,0.01163294515197716,0.010127707170534987,0.5368385422727217,7.35773317515428,-0.8793871577911747,3.966279028766451e-06,3215.63
2020-07-31,0.011105736481981288,0.007992646138820295,0.5097799979108677,7.783433731239731,-0.826256597161862,3.5698287639274184e-06,3271.12
2020-08-07,0.013727048325134593,0.008159972220201298,0.46619445704729046,7.829024226120754,-0.884574928519295,3.1733390453148047e-06,3351.28
2020-08-14,0.019676836568435878,0.008806762581907822,0.41565690139748845,8.720780931733394,-0.8915690154893882,3.5698287639274184e-06,3372.85
2020-08-21,0.018618539918636715,0.008670626977305727,0.42243045539699037,8.519227096486112,-0.8871842743552204,2.77680986426887e-06,3397.16
2020-08-28,0.02411117682159927,0.009004784641324766,0.37311599500813003,7.8471698926405695,-0.8822545823997634,3.5698287639274184e-06,3508.01
2020-09-04,0.033127565940873994,0.010980058298505575,0.2845383359597515,8.222856139021568,-0.6687671558319921,3.5698287639274184e-06,3426.96
2020-09-11,0.0268201147297009,0.008565987411253683,0.3579321530975799,7.844517693388193,-0.6041534428104859,3.966279028766451e-06,3340.97
2020-09-18,0.04314440140994292,0.012050440337494157,0.3104279695541406,8.467742869262155,-0.7825099913383002,3.5698287639274184e-06,3319.47
