,v_0,theta,kappa,sigma_v,rho,env: rf,env: S0
2020-01-03,0.0001001127433877417,0.00010006565625509898,0.0028869156172749775,0.004449505456317087,0.9031150667530398,5.986543241132125e-05,3234.85
2020-01-10,0.00010014875988056158,0.00010019769768659345,0.0028871347523732687,0.004450585132331683,0.9031150667605657,5.986543241132125e-05,3265.35
2020-01-17,0.0001001487463222445,0.00010019767580276744,0.002887196751237314,0.004496934809649492,0.9031150671147192,6.0647170438077325e-05,3329.62
2020-01-24,0.00010022689359126102,0.00010043698845666028,0.002887640288607634,0.004501216365831239,0.9031150671445828,6.0647170438077325e-05,3295.47
2020-01-31,0.00010022689046421898,0.00010043698621137233,0.002887638633859461,0.004505475285546792,0.9031150670360463,6.142875511461199e-05,3225.52
2020-02-07,0.00010022689041295909,0.0001004369861273384,0.002887638580956322,0.004505599844229267,0.9031150670367246,6.18194899655311e-05,3327.71
2020-02-14,0.0001002267739554418,0.00010053554007147039,0.0028878879084038066,0.004529929257550051,0.9031150682449813,6.299146465793548e-05,3380.16
2020-02-21,0.00010022677355207953,0.00010068824551391318,0.0028878875722962664,0.004530822492856196,0.9031150682459231,6.299146465793548e-05,3337.75
2020-02-28,0.0008607723574008468,0.00010000342137076643,0.05316130525644702,0.0119029234362202,-0.21571437919716022,5.71281408126012e-05,2954.22
2020-03-06,0.00031223152244258366,0.00010194557071972059,0.010777574156892272,0.0006592830992478777,-0.007791096948166035,3.122651284970246e-05,2972.37
2020-03-13,0.0007374312650826374,0.0002749454518659953,0.011421732112809953,0.005922403573699071,-0.04752738400235017,1.3073763831750185e-05,2711.02
2020-03-20,0.0018652867815977965,0.0005965766232810805,0.12196613641243843,0.014904606964116229,-0.016533734527177903,1.5869854708139286e-06,2304.92
2020-03-27,0.0010162833947892343,0.00010004936452146197,0.018967470378650007,0.004298185261578767,-0.013331565595670801,3.968056356828953e-07,2541.47
2020-04-03,0.00040008606181039395,0.0003262695594769177,0.000488778133016708,0.0010623345302778055,-0.00193423062318976,3.5698287639274184e-06,2488.65
2020-04-17,0.00040015094137738554,0.00033298132087502023,0.0004855630838587555,0.001059489677261284,0.38873621205334186,4.759061227099792e-06,2874.56
2020-04-24,0.0004002567771195908,0.0003334308638797167,0.0004853478790073384,0.0010592659741490394,0.3942923524955824,3.966279028766451e-06,2836.74
2020-05-01,0.00040021621988523595,0.00033334490085174684,0.0004853630604842463,0.0010592869493864343,0.3871915525840712,3.966279028766451e-06,2830.71
2020-05-08,0.0003997404532119892,0.0003336190216160359,0.00048510240695726233,0.0010592961097839729,0.4088143499141317,3.966279028766451e-06,2929.8
2020-05-15,0.0003996268389671436,0.00033346703105485584,0.00048505679032523856,0.0010595589919976864,0.3940112323086927,3.5698287639274184e-06,2863.7
2020-05-22,0.00039957999604365327,0.0003335557018860993,0.00048502811511581963,0.001059557902333548,0.3944105654202776,3.5698287639274184e-06,2955.45
2020-05-29,0.00039962926177716383,0.0003335335846890228,0.0004850453443716069,0.001059595876255485,0.3946188512353646,5.155393176359269e-06,3044.31
2020-06-05,0.00039962752804252534,0.0003338687421389375,0.00048488647921289334,0.0010595425963372419,0.4083258618337345,5.155393176359269e-06,3193.93
2020-06-12,0.00039972428312024075,0.00033348950438317836,0.00048537928387942374,0.0010591856891990186,0.39999979996491974,5.551685702931408e-06,3041.31
2020-06-19,0.00039954119356885095,0.00033369550509267565,0.0004852551932785767,0.0010595017176745212,0.40191216248476763,5.155393176359269e-06,3097.74
2020-06-26,0.0003998644252397051,0.00033339933506054367,0.0004857027339271027,0.0010594793355011625,0.4170195658160045,4.759061227099792e-06,3009.05
2020-07-10,0.00040006877607300323,0.0003335232350373649,0.00048509566106685594,0.0010601511065800348,0.4289899108615613,3.966279028766451e-06,3185.04
2020-07-17,0.0004002237861817535,0.0003335242918075606,0.0004849130983043894,0.0010605126393999902,0.41550651156894425,4.362689847159373e-06,3224.73
2020-07-24,0.0004003246922266792,0.00033360808758108794,0.0004848016832598493,0.0010604433472869463,0.41344960158693206,3.966279028766451e-06,3215.63
2020-07-31,0.00040016911966846104,0.00033360142024970433,0.00048473312611460893,0.0010602103160861542,0.41454412608317315,3.5698287639274184e-06,3271.12
2020-08-07,0.00039986825666017055,0.00033391850538829946,0.0004850516276410981,0.0010602443354458021,0.41226738083090114,3.1733390453148047e-06,3351.28
2020-08-14,0.0003995982035025734,0.00033416890367345446,0.00048522561857458515,0.0010600869130038364,0.4071478747179346,3.5698287639274184e-06,3372.85
2020-08-21,0.00039949524111111885,0.0003340380142598974,0.0004853620970707693,0.0010604537989972263,0.4051725585354071,2.77680986426887e-06,3397.16
2020-08-28,0.00039936783130044913,0.00033409331804752835,0.0004855137825386343,0.0010604527593266787,0.40568766550271607,3.5698287639274184e-06,3508.01
2020-09-04,0.0003992713857389583,0.00033416089253185025,0.00048586915970856765,0.0010604172739225389,0.3730109664838807,3.5698287639274184e-06,3426.96
2020-09-11,0.00039931392134388155,0.00033431104137552335,0.0004858587794742855,0.0010602991254037568,0.37539427551617527,3.966279028766451e-06,3340.97
