,sigma,lam,muj,sigj,env: rf,env: S0
2020-01-03,0.004232311052404499,0.05338265383002285,0.00042153090701111946,0.02653640422455172,5.986543241132125e-05,3234.85
2020-01-10,0.004252844234691152,0.053774824504587385,-0.0027689832746181555,0.02764957390335894,5.986543241132125e-05,3265.35
2020-01-17,0.003599370199242181,0.08215668812413877,0.011332239528172042,0.003652406453333731,6.0647170438077325e-05,3329.62
2020-01-24,0.0043092119205284185,0.05373917694058418,0.00045265883836290876,0.026388469593146186,6.0647170438077325e-05,3295.47
2020-01-31,0.005479520422877174,0.04169463050739716,0.0001094442422192403,0.019052309222583046,6.142875511461199e-05,3225.52
2020-02-07,0.00401767509297989,0.053757866311021904,0.0004192939592561707,0.026116391121603057,6.18194899655311e-05,3327.71
2020-02-14,0.002461120832829851,0.05372856164888541,-0.004201391272021775,0.030946577580024663,6.299146465793548e-05,3380.16
2020-02-21,0.004091867596474703,0.05346778255816965,0.0003870760380365279,0.025164941598273295,6.299146465793548e-05,3337.75
2020-02-28,0.005446807802944788,0.1348617618785941,-0.043140691741706136,0.01761335401369374,5.71281408126012e-05,2954.22
2020-03-06,0.014162398579291037,0.05346957691715222,-0.007410694707254492,0.03508001226807002,3.122651284970246e-05,2972.37
2020-03-13,0.005965899537630316,0.19046509420749747,-0.05345422752800853,0.0008407038049662476,1.3073763831750185e-05,2711.02
2020-03-20,0.025596023242519292,0.05372703414281065,-0.030883171187021823,0.046197827722878754,1.5869854708139286e-06,2304.92
2020-03-27,0.025381759272354112,0.05152515050095552,-0.004125253157267659,0.031038811471340147,3.968056356828953e-07,2541.47
2020-04-03,0.01634406298341648,0.0675497467504834,-0.0030133969820552446,0.043681707373908016,3.5698287639274184e-06,2488.65
2020-04-17,0.012557206379932287,0.05785626332206814,-0.0004758807538149874,0.038787078821641265,4.759061227099792e-06,2874.56
2020-04-24,0.010288601384190445,0.0690400481666544,0.0022253289443907925,0.04074939102358832,3.966279028766451e-06,2836.74
2020-05-01,0.011966140300929486,0.06614888151837033,-0.01645932383161397,0.034381235741412774,3.966279028766451e-06,2830.71
2020-05-08,0.007960751102789413,0.06598851148456897,0.0008922715969823287,0.03529411641821694,3.966279028766451e-06,2929.8
2020-05-15,0.008296364069626016,0.0660062738075504,0.000755032291986982,0.03467257195333539,3.5698287639274184e-06,2863.7
2020-05-22,0.007469317715304868,0.06462286828140894,0.001640757779557819,0.03400714186308138,3.5698287639274184e-06,2955.45
2020-05-29,0.007694481110287915,0.06511597743124553,0.00029044271565118254,0.034435617387754705,5.155393176359269e-06,3044.31
2020-06-05,0.005834726925002381,0.06029680370748259,0.0013917086365679025,0.03055805020046793,5.155393176359269e-06,3193.93
2020-06-12,0.010369040961394791,0.06612389251224633,-0.0005565885403112788,0.03544042884307799,5.551685702931408e-06,3041.31
2020-06-19,0.00722811133946274,0.06475564005574605,0.006326215142298973,0.03607230665844426,5.155393176359269e-06,3097.74
2020-06-26,0.011193115011057337,0.06635819409141439,-0.0047256300375397775,0.03628014007548542,4.759061227099792e-06,3009.05
2020-07-10,0.006995316669521187,0.06393755420629049,-4.0576999985197464e-05,0.034052050042643424,3.966279028766451e-06,3185.04
2020-07-17,0.006010519519488472,0.06074257769889906,0.004573325318510675,0.03117644863036558,4.362689847159373e-06,3224.73
2020-07-24,0.00608100442033446,0.06855265095714112,0.0006653285575961986,0.02930629377805323,3.966279028766451e-06,3215.63
2020-07-31,0.005848660301301967,0.06095549336892709,0.0004543977970368352,0.03071946804563208,3.5698287639274184e-06,3271.12
2020-08-07,0.005559510554531905,0.05886201328113349,0.0009209438948957255,0.029783669937182154,3.1733390453148047e-06,3351.28
2020-08-14,0.003816954069823772,0.05747033422502726,0.0015964523535635627,0.036518864955160456,3.5698287639274184e-06,3372.85
2020-08-21,0.005425705366884502,0.05776526998716446,0.0007666142462682087,0.029762559654738292,2.77680986426887e-06,3397.16
2020-08-28,0.00542146766480828,0.058890337750899836,0.0006321587017028074,0.029948340988758985,3.5698287639274184e-06,3508.01
2020-09-04,0.008416026684955684,0.06238411782698069,-0.0013495836350625686,0.030322887343980396,3.5698287639274184e-06,3426.96
2020-09-11,0.008054678594712735,0.060148017763086925,0.001580068951765632,0.030091084480040976,3.966279028766451e-06,3340.97
2020-09-18,0.008514643965645004,0.06267100981905989,0.0004392998612748578,0.03192878900388423,3.5698287639274184e-06,3319.47
2020-09-25,0.007666578944659356,0.06495435241280956,0.001146904280029712,0.034389795101550595,3.1733390453148047e-06,3298.46
2020-10-02,0.00881606725374046,0.06522520448746479,0.004467238544366373,0.034515865874394376,3.966279028766451e-06,3348.42
2020-10-09,0.006690197288862528,0.0621322866648056,0.0011714507344196242,0.03211758911437626,3.966279028766451e-06,3477.14
2020-10-16,0.007048943339871025,0.06042790374609185,0.004806392104777962,0.029307130636766647,3.5698287639274184e-06,3483.81
2020-10-23,0.0066721935178784865,0.0631403898710657,0.0023456672907192517,0.03336923988937564,3.1733390453148047e-06,3465.39
2020-10-30,0.015422325702151643,0.04802300481591401,-0.002736530049445551,0.025136542176581282,3.1733390453148047e-06,3269.96
2020-11-06,0.004577315125123285,0.16040587744867932,0.018027040255498592,0.013603544956040053,3.966279028766451e-06,3509.44
2020-11-13,0.005658262557147714,0.06057981283305988,0.0006956061236348516,0.03054899122058099,3.966279028766451e-06,3585.15
2020-11-20,0.004907743822775962,0.058079693814688964,0.003944177257966437,0.02894935610048831,3.5698287639274184e-06,3557.54
2020-11-27,0.005155198438242228,0.05776190931735767,0.002232305022678445,0.02905534472555432,3.5698287639274184e-06,3638.35
2020-12-04,0.00491563346842169,0.056096641729844236,0.0008796347632830169,0.02739796086682824,2.77680986426887e-06,3699.12
2020-12-11,0.005691713461440512,0.05982977836484806,0.0005221431793544338,0.030721395996050626,3.1733390453148047e-06,3663.46
2020-12-18,0.006776687442471692,0.0600438762940668,-0.001470911975557832,0.024294169066278397,3.1733390453148047e-06,3709.41
2021-01-08,0.005228323875068607,0.05782778313443135,0.00022032697755163173,0.02872610263602387,3.1733390453148047e-06,3824.68
2021-01-15,0.00543834984367835,0.056184404159346314,0.0033030059688786495,0.02785626498257334,3.1733390453148047e-06,3768.25
2021-01-22,0.0049221240323874815,0.05695419117134069,0.0017504232360568731,0.028231972037386487,2.77680986426887e-06,3841.47
2021-01-29,0.0074993416701320086,0.059406475798159185,-0.019395415749375335,0.035902229653542075,2.77680986426887e-06,3714.24
2021-02-05,0.005086551707687667,0.05727304034793859,0.0011189858710906188,0.02862146334289446,7.935717540874521e-07,3886.83
2021-02-12,0.0037501415415697415,0.05734049233244165,0.0008987542983447853,0.033693480928456435,1.1902983632072761e-06,3934.83
2021-02-19,0.005130545367575524,0.056062002112115795,0.0024266853613297444,0.027831182921544212,1.1902983632072761e-06,3906.71
2021-02-26,0.00756345026807014,0.057399727926047944,-0.01234206926847474,0.026700897526756907,1.5869854708139286e-06,3811.15
2021-03-05,0.0057017513618459,0.0596285271018233,0.0008054224598292393,0.029902388711574815,1.5869854708139286e-06,3841.94
2021-03-12,0.004881210635549624,0.05745591613625693,0.0011609217747036112,0.02840270301147288,1.1902983632072761e-06,3943.34
2021-03-19,0.004500169380520485,0.05445899482320795,0.003805877814705794,0.02765194584918936,3.968056356828953e-07,3913.1
2021-03-26,0.005486613206435093,0.05343611937451437,0.00035824719593559545,0.023673612739796946,7.935717540874521e-07,3974.54
2021-04-09,0.004689538251924416,0.03961633317836729,0.00439129445592525,0.02388528697346955,7.935717540874521e-07,4128.8
2021-04-16,0.004317009217284522,0.049442028442986,0.00425164128946141,0.024850665922653475,7.935717540874521e-07,4185.47
2021-04-23,0.004382614857388016,0.05305840649899172,-0.0006059100334757014,0.026474956305363534,3.968056356828953e-07,4180.17
2021-04-30,0.0044613717307223095,0.053193079352504544,0.0015631217746416345,0.025205439285682172,3.968056356828953e-07,4181.17
2021-05-07,0.003919610148938612,0.05249715709127788,0.000719962844798792,0.023902225102498148,3.968056356828953e-07,4232.6
2021-05-14,0.004449344070174552,0.054805787530474916,0.0006011753148381281,0.02523567213082997,3.968056356828953e-07,4173.85
2021-05-21,0.005297999837784948,0.05281382281845085,0.0005052675309095059,0.02421827174508537,0.0,4155.86
2021-05-28,0.00380292532824858,0.04829583443986988,0.0022903776969928585,0.022871772666403174,3.968056356828953e-07,4204.11
2021-06-04,0.0040848634661814955,0.046885347042957784,0.0005147222014293754,0.022799950690798803,3.968056356828953e-07,4229.89
2021-06-11,0.004549125052687471,0.039298559937310615,-0.00047586673276878004,0.024334893936967656,3.968056356828953e-07,4247.44
2021-06-18,0.005129818270507283,0.04904205578093393,0.0016520995725855109,0.021279939500596933,1.98363308512306e-06,4166.45
2021-06-25,0.00406689523800071,0.03875009026998752,-0.0027105507676681248,0.022444336884363043,1.98363308512306e-06,4280.7
2021-07-02,0.0026730631613202356,0.05249389959165506,-4.757152908352543e-05,0.02389116320439418,1.98363308512306e-06,4352.34
2021-07-09,0.0041733124974968425,0.03854671573922053,-0.0006633842104153358,0.022802752319680826,2.3802412136841866e-06,4369.55
2021-07-16,0.004327138325881982,0.04746598459157834,0.0009686204033821736,0.0222732208748148,1.98363308512306e-06,4327.16
2021-07-23,0.004015512502214494,0.04717891545983309,0.00025168944559463235,0.02269011604052481,1.98363308512306e-06,4411.79
2021-07-30,0.004416796665182978,0.05137842765259336,0.0002823669654438419,0.025553885441042198,1.98363308512306e-06,4395.26
2021-08-06,0.00428575095161819,0.04727213449724527,-0.0028581967733739442,0.0242606322303014,1.5869854708139286e-06,4436.52
2021-08-13,0.0042066112639113735,0.03889658908626134,0.0026265549975557673,0.023377282433078173,1.5869854708139286e-06,4468.0
2021-08-20,0.003961768201293972,0.05102469224681885,0.004863379058825155,0.02243593729536352,1.5869854708139286e-06,4441.67
2021-08-27,0.004073835699278668,0.03859842164900126,0.0018084691965897985,0.02267958141634434,1.5869854708139286e-06,4509.37
2021-09-03,0.003912744512584901,0.048643051774598156,-0.0015506050287944653,0.024025361099837286,1.5869854708139286e-06,4535.43
2021-09-10,0.005411498076473921,0.05099656552472267,-0.0005466105883861523,0.021279215752678386,2.3802412136841866e-06,4458.58
2021-09-17,0.004609221007459405,0.04810541204918438,0.0003116160250371992,0.024016692559795515,2.3802412136841866e-06,4432.99
2021-09-24,0.004603432532512544,0.048132060663586766,0.002239952508421361,0.022885517105702333,2.3802412136841866e-06,4455.48
2021-10-01,0.005298415393748668,0.05494759631250291,7.569887434666826e-05,0.0271923164890353,3.1733390453148047e-06,4357.04
2021-10-08,0.004501319126443305,0.05252184491832087,0.000927659077667263,0.024004050850641286,7.935717540874521e-07,4391.34
2021-10-15,0.0037188879688216615,0.051540538258937695,0.00014479194785563677,0.02336251785091355,1.5869854708139286e-06,4471.37
2021-10-22,0.003575239218207783,0.051353631500839325,0.0009743466878968027,0.022625659212939825,1.98363308512306e-06,4544.9
2021-10-29,0.003849355133720405,0.051742869727801115,0.00019689419978565113,0.025161656185323795,2.3802412136841866e-06,4605.38
2021-11-05,0.0038714988958971864,0.04761284225595336,0.00039654353051062844,0.02325819483794327,1.98363308512306e-06,4697.53
2021-11-12,0.0036122809083026066,0.0511248176079919,0.0010649346951698883,0.023565047323450213,1.98363308512306e-06,4682.85
2021-11-19,0.0045698907547240064,0.050425000472665404,0.00044986913000596816,0.023862057366165004,4.362689847159373e-06,4697.96
2021-11-26,0.005931196934648687,0.05846086618944692,-0.0251208251380123,0.024058415195076135,4.362689847159373e-06,4594.62
2021-12-03,0.007215127864432592,0.055508105309116235,-0.019054154086428327,0.029427828545833274,1.5869854708139286e-06,4538.43
2021-12-10,0.005234697956792712,0.04512053761504737,-0.002817293775816437,0.023143287479491736,1.1902983632072761e-06,4712.02
2021-12-17,0.005729746208517863,0.05228703405862037,-0.0146807528087263,0.026183158184127753,1.1902983632072761e-06,4620.64
