,sigma,lam,muj,sigj,env: rf,env: S0
2020-01-03,0.005595502283302941,0.0009348323233236293,-0.016398000423367566,0.11333154641319991,5.986543241132125e-05,3234.85
2020-01-10,0.005142564338328977,0.0004650763736422112,0.016748819831717866,0.09487773403263224,5.986543241132125e-05,3265.35
2020-01-17,0.004842542545653609,0.00045892919074960823,0.015324199796205166,0.09409730519669256,6.0647170438077325e-05,3329.62
2020-01-24,0.005713066588014653,0.00023357476419903558,-0.03323936280569529,0.07569507720917891,6.0647170438077325e-05,3295.47
2020-01-31,0.00660721150504401,0.00020767232834450626,0.07277977200048397,0.07052566841400121,6.142875511461199e-05,3225.52
2020-02-07,0.005460573603752939,0.00020794159989122497,0.027348546811069456,0.06636903662857838,6.18194899655311e-05,3327.71
2020-02-14,0.005420302573179365,0.00010128275182059674,-0.1532859207196209,0.06211135430503167,6.299146465793548e-05,3380.16
2020-02-21,0.005849523400220114,9.524824052995275e-05,-0.11509766916401991,0.06000793867433503,6.299146465793548e-05,3337.75
2020-02-28,0.01774035453258387,0.0017809426638814604,-0.05034191349951535,0.012057562826292459,5.71281408126012e-05,2954.22
2020-03-06,0.016406722887119477,0.00035336794784272205,0.0009000376269302282,0.001386691828061369,3.122651284970246e-05,2972.37
2020-03-13,0.023876212295020426,0.00029507255916871476,8.577074551722527e-05,0.0006075882279612228,1.3073763831750185e-05,2711.02
2020-03-20,0.028679030715956903,3.9685752010844235e-06,-3.7074204089837106e-09,7.637743456782792e-06,1.5869854708139286e-06,2304.92
2020-03-27,0.026616026666645365,1.0221749569595083e-06,-1.1416360367215021e-08,1.97594432436625e-06,3.968056356828953e-07,2541.47
2020-04-03,0.01988433550027827,2.568204706370061e-07,-2.6069668674193363e-09,4.988754369327469e-07,3.5698287639274184e-06,2488.65
2020-04-17,0.01566243804853352,6.379132682592193e-08,-2.6099247122651357e-10,1.256365240122319e-07,4.759061227099792e-06,2874.56
2020-04-24,0.014643556264503848,3.164331818285257e-08,-5.446049487264937e-09,5.986145725610768e-08,3.966279028766451e-06,2836.74
2020-05-01,0.015272361647723182,4.199426145348636e-10,1.9317191721311218e-11,9.998096053163855e-10,3.966279028766451e-06,2830.71
2020-05-08,0.012220694069365497,4.200176732886622e-10,2.0917042768979363e-11,9.99809605312716e-10,3.966279028766451e-06,2929.8
2020-05-15,0.011967693362357786,4.2249208611778926e-10,2.0834108894555747e-11,9.998096053113316e-10,3.5698287639274184e-06,2863.7
2020-05-22,0.011567171663844278,4.225306338999418e-10,2.078670567382542e-11,9.99809605309419e-10,3.5698287639274184e-06,2955.45
2020-05-29,0.01150771266808102,4.2291667000873e-10,2.0786314100675598e-11,9.998096053090058e-10,5.155393176359269e-06,3044.31
2020-06-05,0.009301808607783209,3.981517702880089e-09,-5.443735261284252e-11,4.999052338484102e-10,5.155393176359269e-06,3193.93
