,sigma,theta,nu,env: rf,env: S0
2020-01-03,0.00865731679408443,-1.74817651147279e-05,0.7716843548010404,5.986543241132125e-05,3234.85
2020-01-10,0.007430621901632659,-7.06420184578176e-05,0.772192669061721,5.986543241132125e-05,3265.35
2020-01-17,0.007314741565386924,-3.1833372778044935e-05,0.7722908948297449,6.0647170438077325e-05,3329.62
2020-01-24,0.008883445157158073,-0.0001921778389991621,0.7722751079087721,6.0647170438077325e-05,3295.47
2020-01-31,0.011618602643612032,-8.713161853472335e-05,0.7722319349013491,6.142875511461199e-05,3225.52
2020-02-07,0.00866159336559067,1.1388481575222001e-05,0.7723116240286922,6.18194899655311e-05,3327.71
2020-02-14,0.011191488730736245,-9.177676018734226e-05,0.7723731903595444,6.299146465793548e-05,3380.16
2020-02-21,0.007659497576912827,0.00016098697906390878,0.7713719557848153,6.299146465793548e-05,3337.75
2020-02-28,0.01644092464184631,-0.007855446225960603,0.7763139220610434,5.71281408126012e-05,2954.22
2020-03-06,0.0161255645161334,-0.003162938860258398,0.7605595115214477,3.122651284970246e-05,2972.37
2020-03-13,0.02154339959864699,-0.011752646807714451,0.784984563420354,1.3073763831750185e-05,2711.02
2020-03-20,0.026615895115207008,-0.018506842169031507,0.32893996645556034,1.5869854708139286e-06,2304.92
2020-03-27,0.025883497277626184,-0.017083197472950916,0.07638730202351142,3.968056356828953e-07,2541.47
2020-04-03,0.019706663923847647,-0.002428012366363125,0.7702254669165967,3.5698287639274184e-06,2488.65
2020-04-17,0.015556414871110265,0.00010346877805530805,0.7719323298545732,4.759061227099792e-06,2874.56
2020-04-24,0.014833988436284244,0.000716354423899624,0.772030881946926,3.966279028766451e-06,2836.74
2020-05-01,0.014844112495191299,-0.003914489653862271,0.7660549008526091,3.966279028766451e-06,2830.71
2020-05-08,0.0122118333421059,0.0001273504036851131,0.7720931381304517,3.966279028766451e-06,2929.8
2020-05-15,0.01232806696882784,7.972224356385635e-05,0.7721319862332324,3.5698287639274184e-06,2863.7
2020-05-22,0.011754715646315722,-0.00021581770954261115,0.7710427631473491,3.5698287639274184e-06,2955.45
2020-05-29,0.011844220795788075,2.2268713474006408e-05,0.7722680196887385,5.155393176359269e-06,3044.31
2020-06-05,0.009636403075917208,0.00013499013509722034,0.7721691040296678,5.155393176359269e-06,3193.93
2020-06-12,0.013692546561438493,0.0003729798773920776,0.7722662206112039,5.551685702931408e-06,3041.31
2020-06-19,0.011702684131924527,0.0006727063089047856,0.7722608046597402,5.155393176359269e-06,3097.74
2020-06-26,0.014822932033214728,-0.0006022356125366851,0.7715464668463686,4.759061227099792e-06,3009.05
2020-07-10,0.01098175138263684,-4.2034333508321685e-05,0.7721287259534265,3.966279028766451e-06,3185.04
2020-07-17,0.009873803905492522,0.0004410452474903148,0.7720822184253504,4.362689847159373e-06,3224.73
2020-07-24,0.01080412765957576,0.0001366936538974525,0.7722507279526556,3.966279028766451e-06,3215.63
2020-07-31,0.010156650461400086,-5.4782124176707315e-06,0.7718165772196725,3.5698287639274184e-06,3271.12
2020-08-07,0.009449385514759339,5.649957483249368e-05,0.7722086678978205,3.1733390453148047e-06,3351.28
2020-08-14,0.00963965106562752,6.821954969037585e-05,0.7721464377764352,3.5698287639274184e-06,3372.85
2020-08-21,0.009158855437003212,-0.0005582941894410387,0.7721032809953156,2.77680986426887e-06,3397.16
2020-08-28,0.00940673435546521,2.2553464227643962e-05,0.7718005025533278,3.5698287639274184e-06,3508.01
2020-09-04,0.015950942950764907,-4.880022988020827e-05,0.7723675860413153,3.5698287639274184e-06,3426.96
2020-09-11,0.010843439299487868,0.00033661693181236525,0.7722295717308304,3.966279028766451e-06,3340.97
2020-09-18,0.011463717372154068,0.0006373074629196259,0.7702707997368116,3.5698287639274184e-06,3319.47
2020-09-25,0.011793983246818478,6.25726334438819e-05,0.7721951606854935,3.1733390453148047e-06,3298.46
2020-10-02,0.012577663213142668,0.00035775308478253694,0.7720387820162855,3.966279028766451e-06,3348.42
2020-10-09,0.010810584359244832,6.884174890103404e-05,0.7720860241189406,3.966279028766451e-06,3477.14
2020-10-16,0.010038236277846448,0.00036202369718687274,0.7615748117725973,3.5698287639274184e-06,3483.81
2020-10-23,0.010761179376418233,0.00022706545835013588,0.7722260082591113,3.1733390453148047e-06,3465.39
2020-10-30,0.016065144089938588,-0.004007715764444585,0.7506083504029625,3.1733390453148047e-06,3269.96
2020-11-06,0.010128622892134892,0.0002479042580943052,0.7724003700239751,3.966279028766451e-06,3509.44
2020-11-13,0.010194958143071382,-1.602975043493916e-06,0.7722427471980696,3.966279028766451e-06,3585.15
2020-11-20,0.008923035603652277,0.0002650955220898681,0.7722592396401752,3.5698287639274184e-06,3557.54
