,sigma,theta,nu,env: rf,env: S0
2020-01-03,0.005730977198339206,0.0007098964983767556,0.5785498619820822,5.986543241132125e-05,3234.85
2020-01-10,0.005721841547655055,0.000578925250420501,0.5785484610562969,5.986543241132125e-05,3265.35
2020-01-17,0.005563473435543155,-0.0003888691400433869,0.578526358775794,6.0647170438077325e-05,3329.62
2020-01-24,0.005188654264611524,0.02200930607296213,-0.004337009449152646,6.0647170438077325e-05,3295.47
2020-01-31,0.005188654264611524,0.02200930607296213,-0.004337009449152646,6.142875511461199e-05,3225.52
2020-02-07,0.005188654264611524,0.02200930607296213,-0.004337009449152646,6.18194899655311e-05,3327.71
2020-02-21,0.005188654264611524,0.02200930607296213,-0.004337009449152646,6.299146465793548e-05,3337.75
2020-02-28,0.017678060952682862,0.01924063810200984,0.008105512203646605,5.71281408126012e-05,2954.22
2020-03-06,0.016414564464387355,0.0003448370431524497,7.249136307087328e-07,3.122651284970246e-05,2972.37
2020-03-13,0.023870897170867267,0.00505399498108221,0.0028396421533314915,1.3073763831750185e-05,2711.02
2020-03-20,0.028683017439786202,-0.0004145060308819032,0.017463099367599294,1.5869854708139286e-06,2304.92
2020-03-27,0.026609788331462124,-6.334955483028247e-05,0.0031185670691383266,3.968056356828953e-07,2541.47
2020-04-03,0.020111164593727374,-8.520378658613952e-05,0.00045825176659158303,3.5698287639274184e-06,2488.65
2020-04-17,0.01575385064395013,-0.00012864107175548215,0.0009507452919224293,4.759061227099792e-06,2874.56
2020-04-24,0.015452449471785009,-0.00013028908610674623,-0.00019639332410699767,3.966279028766451e-06,2836.74
2020-05-01,0.015335389154482343,-0.00013465587951128926,0.005248086012000138,3.966279028766451e-06,2830.71
2020-05-08,0.011907256922009744,-0.00012605509348783978,-8.130119366648282e-05,3.966279028766451e-06,2929.8
2020-05-15,0.011906715046958323,-0.00012605441420972087,-7.012005417795429e-05,3.5698287639274184e-06,2863.7
2020-05-22,0.0115123213853191,-0.000123677826584458,0.007212038353937057,3.5698287639274184e-06,2955.45
2020-05-29,0.011443030992508332,-0.00012265837810827588,0.007049461215538157,5.155393176359269e-06,3044.31
2020-06-05,0.009233451410594402,-8.582301812227203e-05,0.003292623347301456,5.155393176359269e-06,3193.93
2020-06-12,0.013645838156338274,0.0004838915279196161,-0.00014169710943976274,5.551685702931408e-06,3041.31
2020-06-19,0.011694557777770015,0.0026064911563520735,0.008701947729461902,5.155393176359269e-06,3097.74
2020-06-26,0.014510106229933765,0.002373869987093397,-2.1187320123152683e-05,4.759061227099792e-06,3009.05
2020-07-10,0.010853053349832519,-0.00914478702642358,0.01360819661997185,3.966279028766451e-06,3185.04
2020-07-17,0.009613710902860435,-0.007091323388363016,0.009203786222047528,4.362689847159373e-06,3224.73
2020-07-24,0.009598388407351685,-0.007078705109869417,0.009170974630594155,3.966279028766451e-06,3215.63
2020-07-31,0.009412764173527615,-0.006932722328564426,0.008841614736551368,3.5698287639274184e-06,3271.12
2020-08-07,0.008833744181375803,-0.0064380673787209994,0.0075966512902357975,3.1733390453148047e-06,3351.28
2020-08-14,0.008833305125759078,-0.006361953721087216,0.007400237633653933,3.5698287639274184e-06,3372.85
2020-08-21,0.008687953288904834,-0.00626384495037894,0.007120910342947437,2.77680986426887e-06,3397.16
2020-08-28,0.008685584666912253,-0.006262293641662196,0.0071161200431559875,3.5698287639274184e-06,3508.01
2020-09-04,0.010846588550841656,-0.00586811097550234,0.005856184500136377,3.5698287639274184e-06,3426.96
2020-09-11,0.01081610339442138,-0.0058546785680176515,0.005779672101659744,3.966279028766451e-06,3340.97
2020-09-18,0.011447161765424934,-0.0055500709440303225,0.0002929743790286294,3.5698287639274184e-06,3319.47
2020-09-25,0.011447144779741144,-0.005550069918167686,0.00029274855514596117,3.1733390453148047e-06,3298.46
2020-10-02,0.012148509321405045,-0.005514601455991381,-0.00012481302774227052,3.966279028766451e-06,3348.42
2020-10-09,0.01022993818121822,0.00026895521961753935,0.03948100045334656,3.966279028766451e-06,3477.14
2020-10-16,0.010175726139406104,0.00027102689291586045,0.03942661072524259,3.5698287639274184e-06,3483.81
2020-10-23,0.010128278985268498,0.0032395645261970437,0.012513798721367625,3.1733390453148047e-06,3465.39
2020-10-30,0.01643469750564057,0.0036703582001734085,-0.0026430581533387737,3.1733390453148047e-06,3269.96
2020-11-06,0.009943114962770783,0.014578361222944163,0.016160844462442266,3.966279028766451e-06,3509.44
2020-11-13,0.00876781116260711,0.011343028356252784,0.013069482045110568,3.966279028766451e-06,3585.15
2020-11-20,0.00824311789721762,0.010076890281351591,0.011405005559547944,3.5698287639274184e-06,3557.54
2020-11-27,0.008243110918379544,0.010076877610676492,0.011404988572089405,3.5698287639274184e-06,3638.35
2020-12-04,0.00807285966905683,0.009769126820934502,0.01105970392658637,2.77680986426887e-06,3699.12
2020-12-11,0.00807081825536709,0.009765155381996104,0.011050646727184097,3.1733390453148047e-06,3663.46
2020-12-18,0.00806907180322613,0.009760588587066077,0.011029685152030557,3.1733390453148047e-06,3709.41
2021-01-08,0.008067388272626217,0.009754268074166818,0.011017173825366409,3.1733390453148047e-06,3824.68
2021-01-15,0.008067197939439791,0.009753852894477938,0.011016087652157884,3.1733390453148047e-06,3768.25
2021-01-22,0.008035051275700028,0.009644422713216144,0.010868378453385629,2.77680986426887e-06,3841.47
2021-01-29,0.012089778210919076,0.0069181984786451265,0.00023815553533658047,2.77680986426887e-06,3714.24
2021-02-05,0.007082371816862164,-0.002752955363061081,0.005242185896804658,7.935717540874521e-07,3886.83
2021-02-12,0.0070802992284204535,-0.0027521988410544596,0.005233151389758554,1.1902983632072761e-06,3934.83
2021-02-19,0.007079801378996871,-0.0027518457787452347,0.005225296867758706,1.1902983632072761e-06,3906.71
2021-02-26,0.010184886970534683,-0.002062127671725074,-0.00039917768221928255,1.5869854708139286e-06,3811.15
2021-03-05,0.009051969528869209,0.00047448069888416305,0.03658730328763122,1.5869854708139286e-06,3841.94
2021-03-12,0.008988304766106672,0.00023827758266503063,0.03601435026252596,1.1902983632072761e-06,3943.34
2021-03-19,0.007610476367719985,0.0009423604846979298,0.014927747038589246,3.968056356828953e-07,3913.1
2021-03-26,0.00698368686863732,0.0007711840163151143,0.014192609748588922,7.935717540874521e-07,3974.54
2021-04-09,0.005621049937372039,-0.000530076442640181,-0.0011094955007687043,7.935717540874521e-07,4128.8
2021-04-16,0.005620478120919169,-0.0005300885893489965,-0.0011068422884437685,7.935717540874521e-07,4185.47
2021-04-23,0.005620463931132178,-0.0005301596538550474,-0.0010841598627552278,3.968056356828953e-07,4180.17
2021-05-28,0.0056204636666587655,-0.0005301601750637038,-0.0010843282213416083,3.968056356828953e-07,4204.11
2021-06-11,0.005620429206395176,-0.000530160864691542,-0.0010841921169570886,3.968056356828953e-07,4247.44
2021-06-18,0.006583891010254184,0.002413514909618649,0.018166020910562516,1.98363308512306e-06,4166.45
2021-06-25,0.005174027156752809,-0.004147780155142819,0.008632151049648585,1.98363308512306e-06,4280.7
2021-07-02,0.005167587776458144,-0.004138563675883206,0.008620422486260923,1.98363308512306e-06,4352.34
2021-07-09,0.005166299966128384,-0.004136715011357171,0.008617554198810329,2.3802412136841866e-06,4369.55
2021-07-16,0.0051662174497574135,-0.004136495255964809,0.008616376031104251,1.98363308512306e-06,4327.16
2021-07-23,0.005165598796662518,-0.004135492292378033,0.008614679988362246,1.98363308512306e-06,4411.79
2021-07-30,0.005164091070534007,-0.00413144192400517,0.008596639226236671,1.98363308512306e-06,4395.26
2021-08-06,0.005163778366670873,-0.0017145325818584964,0.0047640544413237425,1.5869854708139286e-06,4436.52
2021-08-13,0.0051350787980579396,-0.001704971486136025,0.004697981464843894,1.5869854708139286e-06,4468.0
2021-08-20,0.0051349992917928255,-0.0017049418559896478,0.004697663494257737,1.5869854708139286e-06,4441.67
2021-08-27,0.005130145990018409,-0.001703275294075743,0.0046856424984531376,1.5869854708139286e-06,4509.37
2021-09-03,0.005130127173916928,-0.0017032689392480005,0.004685597131881336,1.5869854708139286e-06,4535.43
2021-09-10,0.006839915550590351,-0.0020469339438350356,0.0002993869038200882,2.3802412136841866e-06,4458.58
2021-09-17,0.0068250058499558,-0.0020462826968372285,0.0001905062307381972,2.3802412136841866e-06,4432.99
2021-09-24,0.006752393459288412,-0.0020443095210708534,-0.00023337230171364645,2.3802412136841866e-06,4455.48
2021-10-01,0.007739770353639652,-0.0019000222892639172,-0.00020056469723228222,3.1733390453148047e-06,4357.04
2021-10-08,0.006913679191159992,0.0001405718262284178,0.032067745445153964,7.935717540874521e-07,4391.34
2021-10-15,0.0056910343033738904,-0.00019035879863171058,0.015316748643800079,1.5869854708139286e-06,4471.37
2021-10-22,0.0056679882522726426,-0.00018721214117596433,0.015287393982706041,1.98363308512306e-06,4544.9
2021-10-29,0.0056622722620677385,-0.00018654196355027584,0.015278873318581505,2.3802412136841866e-06,4605.38
2021-11-05,0.004917478337498303,0.0008567847314940452,-0.0011354542007717754,1.98363308512306e-06,4697.53
2021-11-12,0.005174682115800902,0.0006255733594231872,0.06890526239261417,1.98363308512306e-06,4682.85
2021-11-19,0.005174594699465372,0.000625447837169199,0.06890508151044711,4.362689847159373e-06,4697.96
2021-11-26,0.01003954291433548,0.018761807138139318,-9.217013578378436e-05,4.362689847159373e-06,4594.62
2021-12-03,0.010792706519469817,0.0003011933894842674,0.002566672227878888,1.5869854708139286e-06,4538.43
2021-12-10,0.007023845810671873,0.00026619985302991553,-0.0006750141205244584,1.1902983632072761e-06,4712.02
2021-12-17,0.008732071774604479,3.074013302293283e-05,0.00014987705197189958,1.1902983632072761e-06,4620.64
2021-12-31,0.008559486272902584,2.9842114736859973e-05,-6.701107367721034e-06,2.3802412136841866e-06,4766.18
2022-01-07,0.00720706051271148,-0.02755173038558656,-6.196650208926911e-05,1.98363308512306e-06,4677.03
2022-01-14,0.006737196531280699,-0.021008634848825997,0.027647403207179604,1.98363308512306e-06,4662.85
2022-01-21,0.011471852309507289,0.0002762889717292124,0.002769194025241169,1.98363308512306e-06,4397.94
2022-01-28,0.010283961120396931,0.000269318127225329,0.0005530862424240693,1.5869854708139286e-06,4431.85
2022-02-04,0.008967544098219283,2.0425114151624742e-05,0.0004350735408086385,1.98363308512306e-06,4500.53
2022-02-11,0.01110447587991316,-1.2561045846497428e-05,0.0008131551836062259,1.1902983632072761e-06,4418.64
2022-02-18,0.01158346092413889,-1.673061875198206e-05,0.0005960174168080212,1.1902983632072761e-06,4348.87
2022-02-25,0.010756945436984739,-1.7299397318915705e-05,-0.0004615864993251591,1.1902983632072761e-06,4384.65
2022-03-04,0.012451901957318276,-0.0003289055450311219,0.004112438701683025,5.947938814809817e-06,4328.87
2022-03-11,0.013075982778460329,-0.0003645001340641219,-0.0002765132246254487,6.740326825349641e-06,4204.31
2022-03-18,0.009475436432869976,8.812642623775221e-05,0.021762328813501396,7.532557270595319e-06,4463.12
2022-03-25,0.008137288200111743,-6.786393971723682e-06,-0.0008058215469105162,6.740326825349641e-06,4543.06
2022-04-01,0.0071225356393238015,0.00840455354467861,0.06977050277544578,5.947938814809817e-06,4545.86
2022-04-08,0.008413898844481328,0.0020048272371410497,0.01641599774803276,7.92861342602258e-06,4488.28
2022-04-22,0.011034874891064455,0.0011868491397047647,0.0008078215839652374,1.8212278277252025e-05,4271.78
2022-04-29,0.014086308792046816,0.0010090190836999579,0.00636729572606418,1.4655551191511407e-05,4131.93
2022-05-06,0.012106203394758685,0.0002691647950250882,9.070881243604998e-05,1.900223106310328e-05,4123.34
2022-05-13,0.012090138521202784,0.00026914893702970397,-0.0002250479353509915,2.6498981064992932e-05,4023.89
2022-05-20,0.012389665088939761,0.00027398517354467725,0.01186089580421591,2.492188974012599e-05,3901.36
2022-05-27,0.011570172737714695,0.00025753924358596644,0.010268460204179347,2.7287292685862496e-05,4158.24
2022-06-03,0.011170657207602477,0.0002350184192378348,0.00927864423720162,3.4375087153648565e-05,4108.54
2022-06-10,0.012917254623267283,0.00025467597311719245,0.0005216779723886569,4.341340280400452e-05,3900.86
2022-06-17,0.013124313226115703,0.0002557742904239395,0.0009352244011537579,4.5375543826331466e-05,3674.84
2022-06-24,0.011350848093514594,0.0002510750769462676,0.00010971399124306411,4.6944561201023305e-05,3911.74
2022-07-01,0.011342799626802399,0.00025111600189958613,-1.31672775309963e-05,5.008074350687508e-05,3825.33
2022-07-08,0.01100123975957973,0.0002686631108527805,0.0015924504425022707,6.18194899655311e-05,3899.38
2022-07-15,0.010462506549460966,0.0002672772979549521,-0.0003274202828798382,7.780671582890974e-05,3863.16
2022-07-22,0.009485921685472859,0.0023032020689734223,0.039624490969998136,8.441679811777014e-05,3961.63
2022-07-29,0.008762758054002767,-0.0001535183835297059,0.009904499539171802,8.713541254601331e-05,4130.29
2022-08-05,0.00861787442238467,-0.0001451469583918656,0.009672957864779202,8.6747152605815e-05,4145.19
2022-08-12,0.008083540455942584,-0.00010460513611582469,0.008593535668432711,8.75236346555841e-05,4280.15
2022-08-19,0.008083403108620593,-0.0001045198656173705,0.00859095293080584,8.75236346555841e-05,4228.48
2022-08-26,0.010359887841906125,-2.4663742512029686e-05,0.000622160786095171,9.37300495240656e-05,4057.66
2022-09-02,0.011119301167212185,-2.4894320796351223e-05,-2.1367506346200246e-05,9.760415525894572e-05,3924.26
2022-09-09,0.009635829986590993,-1.5258562554546242e-05,0.009349070707972043,0.00010070073002266255,4067.36
2022-09-16,0.011633495480007472,0.00016269349505309994,-0.00011341987664663147,0.00010495459470871715,3873.33
2022-09-23,0.01294755934473496,0.000307065040115572,0.004160283608186168,0.0001045680673463778,3693.23
2022-09-30,0.014251414033494779,0.0002775798354553228,-0.00026299214055817163,0.00010920392277746771,3585.62
2022-10-07,0.013021211584751146,-0.00021787726794783655,0.021845870518931998,0.00011845948390121208,3639.66
2022-10-14,0.01402373235562104,0.0007463625613062292,0.006011955592093683,0.0001288463560800146,3583.07
2022-10-21,0.013015448470789151,0.000719805067380614,0.0017190310558627053,0.00013843974798288805,3752.75
2022-10-28,0.01215073781721776,0.0007103106807972868,0.0001965630853624887,0.00014609786618535736,3901.06
2022-11-04,0.011496797490256035,0.0007076413277116463,0.00010989788088836514,0.00014533271634609157,3770.55
2022-11-11,0.010573893267593268,0.0007088126847338563,-2.7224386921363593e-05,0.0001445674195510449,3992.93
2022-11-18,0.0096032939990039,4.2008223675926375e-05,0.02046808979496957,0.0001529776110411607,3965.34
2022-11-25,0.008808788205788412,7.155124036513022e-05,0.019662940351988113,0.0001617511456717402,4026.12
2022-12-02,0.008245041489545453,0.00011888063677002325,0.018662522141086112,0.0001522137812646207,4071.7
2022-12-09,0.01006279110047722,0.001967113116373654,0.0005291421330426196,0.0001483924345326848,3934.38
2022-12-16,0.009452828260374992,0.001960789738621988,-0.0002084655593831616,0.00015335947102901315,3852.36
2022-12-23,0.009040577851796596,0.0008268839314361273,0.012064184500225457,0.00014801009822229538,3844.82
2022-12-30,0.009264310413228232,0.0009548319652241945,-4.1647352800066176e-05,0.00016022670055493293,3839.5
2023-01-06,0.009056624857044608,0.0009516370583373883,0.006029072817958808,0.0001678431007052783,3895.08
2023-01-13,0.006927396379165664,0.0007978659397694568,0.0022737186061875846,0.00017772270657090417,3999.09
2023-01-20,0.006926912445122671,0.0007978455559513905,0.0022698592086254094,0.00018189517720434978,3972.61
2023-01-27,0.006925337498807516,0.0007976503366135824,0.002239828587102158,0.00017886108646547605,4070.56
2023-02-03,0.006891185631848826,0.0007965762300265483,0.0021371207361004685,0.00017886108646547605,4136.48
2023-02-10,0.0069546817201533405,0.0007958208438288082,4.631230086705364e-05,0.0001807576638885866,4090.46
2023-02-17,0.006954602626664004,0.0007958217465062715,4.250023329144035e-05,0.00017999914123811855,4079.09
2023-02-24,0.007524116344776098,0.0007870486337374416,0.0008641920051802672,0.000181516042177865,3970.04
2023-03-03,0.00752409036764503,0.0007870482093093537,0.0008640156087198146,0.00018416923014275,4045.64
2023-03-10,0.009624528742737712,0.0007443378344641246,0.0008837709496574203,0.00018644198605977103,3861.59
2023-03-17,0.010285902510076356,0.000741983540720608,7.650523859637894e-05,0.0001674626262520018,3916.64
2023-03-24,0.009803007609768615,0.0007305990661291226,-0.0003473067080815725,0.00016632098486990543,3970.99
2023-03-31,0.0074142071389247804,-0.0055874098166521285,0.020079871968576142,0.00018379031143078706,4109.31
2023-04-14,0.006493156459288582,0.005530823982424124,0.004185045990264543,0.00016670156834108774,4137.64
2023-04-21,0.006493243389045358,0.0055292481632852886,0.004175791468043716,0.00013115087748549747,4133.52
2023-04-28,0.006114940921340682,0.005228871497138926,0.0022604827886675226,0.00016898430614076254,4169.48
2023-05-05,0.00609043664448477,0.005220376215217913,0.0021723458818148065,0.00021587045473081545,4136.25
2023-05-12,0.005640884152509035,0.005071882106431362,-4.6620613640020413e-05,0.00022338133879551414,4124.08
2023-05-19,0.005548337120419213,0.0050655861575132355,0.0012377297452269218,0.00021699799022467658,4191.98
2023-05-26,0.005548189909529735,0.005065522443833679,0.0012357991128655527,0.000232001390587655,4205.45
2023-06-02,0.005221160198975109,0.004982851568597645,-0.0003802498881455451,0.0002042005349363052,4282.37
2023-06-09,0.00521979213212629,0.004982915073434142,-0.0003698162831208359,0.0002030693720416199,4298.86
2023-06-16,0.005219725274005797,0.004982917154874259,-0.000369383925347123,0.00020042874257408805,4409.59
2023-06-23,0.0048762753177529015,0.003638608679198081,0.07188247975472616,0.00020005136690737224,4348.33
2023-06-30,0.00445097978538108,-0.0003242268676436771,0.0715345621773528,0.00020269224637736727,4450.38
2023-07-07,0.004450468820422482,0.005291855854936452,0.06912216525402409,0.00020570825281929217,4398.95
2023-07-14,0.004446764341856081,0.005215958610092553,0.06911682484099879,0.00020759209831888725,4505.42
2023-07-21,0.004445439163201081,0.005196735861370933,0.06911491354254133,0.0002098515379793664,4536.34
2023-07-28,0.004444497186173238,0.005177796185999675,0.06911360181900031,0.0002113571196757924,4582.23
2023-08-04,0.00575777037371775,0.006485639464374114,0.005518082548867375,0.00021399051964765547,4478.03
2023-08-11,0.0056689438421572,0.006351420931083251,0.005234898790150347,0.00021399051964765547,4464.05
