,mu,omega,alpha[1],beta[1]
2019-01-03,0.0756312590696399,0.05498875642012135,0.22101364534088724,0.7606113674500783
2019-01-04,0.0757643594084942,0.053696418003944216,0.22479047750256945,0.7618393040391604
2019-01-07,0.07175286237649595,0.05438662122780829,0.2191810741894199,0.7640995612097776
2019-01-08,0.06799457054203176,0.05510604165826711,0.21575978870285384,0.7651062930989477
2019-01-09,0.06573445304581783,0.05614505479719642,0.21241415310391615,0.7652432763064311
2019-01-10,0.0640215667954087,0.057457200863593426,0.21080412650450403,0.763828645786019
2019-01-11,0.06282411257276757,0.05915758044390411,0.21084259881307732,0.760714484080975
2019-01-14,0.05894578879276866,0.06082195097129866,0.2115689985737826,0.7575115380270538
2019-01-15,0.0581682248292982,0.06044503710477004,0.20989393431240436,0.7589081766028146
2019-01-16,0.05872174370515321,0.06102405755765145,0.20930899961539284,0.7574856107870513
2019-01-17,0.05815562466940782,0.061006448365588266,0.20885955315557997,0.7573279928348289
2019-01-18,0.05999406177848831,0.05617093733993286,0.19708057596043124,0.7712262044224215
2019-01-22,0.053468786035074,0.05165746756886241,0.18334295245782783,0.7862715249829135
2019-01-23,0.05209471934755875,0.049949865990947126,0.17514899682444254,0.7926730933887295
2019-01-24,0.051696409978120986,0.04828703355369584,0.16726292322625888,0.7984849842597562
2019-01-25,0.053662019300745115,0.04681115024268985,0.16125659562818542,0.8032344938599841
2019-01-28,0.050972843108646276,0.04619347413436493,0.15657486974866588,0.8061121954104196
2019-01-29,0.049775231272969504,0.04697766576394913,0.15620200836917755,0.803962705247683
2019-01-30,0.054628092113347536,0.04522180015991337,0.1503524635041418,0.8108165324048653
2019-01-31,0.05733609261073381,0.04582022749995417,0.15023831718934008,0.8091023549597713
2019-02-01,0.05876675050741731,0.04752640691356844,0.15252591327732196,0.8035695306213865
2019-02-04,0.0619143716621163,0.04948243901762173,0.15638798837319076,0.7969486851343371
2019-02-05,0.06405118855989546,0.04902090137425686,0.15265157160746545,0.7992618684823277
2019-02-06,0.06616904208507245,0.04491672288320069,0.14534243615355563,0.8114294118993418
2019-02-07,0.059622852610048814,0.04430740228986065,0.13938066752300304,0.816751798946635
2019-02-08,0.061059967947763485,0.0468620200617083,0.14708487628636827,0.8062379595715574
2019-02-11,0.07503026533786819,0.04534036111674985,0.15349093414038523,0.8052867512059784
2019-02-12,0.07784791676156406,0.04486172290204465,0.15130218803632617,0.8091237684719328
2019-02-13,0.07656646218933774,0.04480462308380427,0.15099725681120585,0.8090750232291122
2019-02-14,0.07456397859393753,0.044736869024170185,0.15068473363072774,0.8084814521733108
2019-02-15,0.07581492316719596,0.04486201610265849,0.15101577172074035,0.8088829347059177
2019-02-19,0.0742297498754045,0.04469986510355608,0.15040437264448278,0.8090412184454662
2019-02-20,0.07567106407146884,0.04417594028999434,0.15003230177935858,0.8088872291792156
2019-02-21,0.07541701998744726,0.04398811821003874,0.15011435890072888,0.8083334876557413
2019-02-22,0.07948126759450932,0.043771737174212434,0.15078812004726497,0.8075327365087872
2019-02-25,0.0805066381123549,0.043555611981091154,0.1516768714836469,0.8060131043178306
2019-02-26,0.07772183278221989,0.04348046869858906,0.15293767869910216,0.8048054763456292
2019-02-27,0.07597506647515863,0.0432154268111542,0.15406052792112276,0.8036040849552774
2019-02-28,0.0767149202129062,0.04303623071812106,0.15565051867822666,0.8023670637302207
2019-03-01,0.08321258097526292,0.04286746234822627,0.15645835667779198,0.8020553740130438
2019-03-04,0.08423148393996951,0.04295808266682192,0.158082801654139,0.8008480615168841
2019-03-05,0.08204565299778119,0.041863389348036156,0.15710344922106262,0.8020146940007741
2019-03-06,0.07504046317510979,0.042361749258226125,0.15544610669216402,0.8028204059674806
2019-03-07,0.06983194047580818,0.04257848315413358,0.1540760473467631,0.8035733160878767
2019-03-08,0.06758151835488507,0.04140678873370754,0.1510490861618367,0.8061995307596698
2019-03-11,0.07778124047458349,0.04295203543964637,0.1546775207115227,0.8028770795594123
2019-03-12,0.07525932783440127,0.043103812891633765,0.15318957474766517,0.8036603778982823
2019-03-13,0.0787490599816374,0.041945574240922726,0.15081011136428552,0.8058706266106209
2019-03-14,0.07978587523091947,0.04110896238802508,0.14820778837690088,0.8076252681496425
2019-03-15,0.08301008729495504,0.040682111690210486,0.14772671077543992,0.8073279533455048
2019-03-18,0.08589164275372199,0.040574310928071816,0.14848080824937984,0.8054097217830186
2019-03-19,0.0871124439092466,0.04078165366338743,0.150081478697482,0.8023354720957757
2019-03-20,0.08615389388975944,0.04060889139705717,0.14881969364500508,0.8027453014329048
2019-03-21,0.09188477792444248,0.04212302248449918,0.15126914945827663,0.7989694905617027
2019-03-22,0.07823813706680281,0.047987477159106784,0.16180218211688513,0.786882407722128
2019-03-25,0.07915991439535047,0.04620831474700052,0.1552801277941243,0.7941524939317467
2019-03-26,0.0824786529526983,0.04483836456108242,0.15014240367583395,0.7997867304679787
2019-03-27,0.0757404236930742,0.04375485680120005,0.1472553169233476,0.8043025384825255
2019-03-28,0.07788342037875397,0.043094328442793976,0.1446657000740122,0.8070308106895208
2019-03-29,0.08067599260994054,0.043573665881224126,0.1460720257225723,0.8042431622275382
2019-04-01,0.08237939162900294,0.043354673536591386,0.14449881988721483,0.8060584736626525
2019-04-02,0.08621298845770645,0.04192962870743377,0.141884755320392,0.8108656747699209
2019-04-03,0.08459943327039686,0.041597588393597944,0.1392300016967105,0.8126421838648817
