,mu,omega,alpha[1],beta[1],nu
2019-01-04,0.07027232722015574,0.023708338955046537,0.2122997871049733,0.7843608680485811,4.65485530412519
2019-01-07,0.0703860534498868,0.023551566246382983,0.2101890339176673,0.785574083333774,4.6727618358492
2019-01-08,0.07066670811119846,0.023508781642615554,0.209089939335019,0.7859833044406689,4.6866626259401505
2019-01-09,0.07039956458624701,0.02365371950414522,0.20872977587760616,0.7857521768497834,4.679750966392961
2019-01-10,0.07058741872917784,0.02386421675385035,0.2087194133525905,0.7846555309645995,4.7024532555421885
2019-01-11,0.0706927314719862,0.024307544450893975,0.20991549321462438,0.782294795118978,4.719535224758704
2019-01-14,0.07057596141794394,0.02469878017651079,0.21124997447702362,0.7800113250580653,4.738285982989285
2019-01-15,0.07130594662243078,0.02481947733648083,0.21216428704305176,0.7795744930237951,4.71620617463001
2019-01-16,0.07098334109101137,0.025524416943125374,0.21525118191554557,0.7764410554112933,4.674022802827738
2019-01-17,0.07106783319768104,0.02547607953136269,0.21469580160240928,0.7765167513075008,4.690646027669605
2019-01-18,0.07148000245341264,0.024617696498472775,0.21077541480998083,0.7804568807238543,4.736910836290452
2019-01-22,0.07113218925044909,0.02397127398234433,0.2083461534676187,0.783244415028509,4.769916500948576
2019-01-23,0.07119685676454848,0.02419819612914481,0.20833859628141024,0.7820996627976547,4.79052404929341
2019-01-24,0.07136385952982714,0.024632108927939232,0.20951537472773296,0.7796960512198371,4.810562778098605
2019-01-25,0.07190507203088752,0.024622508641933154,0.20900590908025274,0.7799612803925906,4.809812054249852
2019-01-28,0.07188908082614512,0.024593771544176597,0.20987205749753268,0.7796912845074605,4.826466423507674
2019-01-29,0.07197958493040815,0.02485287961048653,0.210392700113423,0.7785020426189345,4.819878811133553
2019-01-30,0.07226047927746845,0.02424030718278715,0.20809232176308698,0.7815669508841749,4.834825140343432
2019-01-31,0.0728428895822564,0.024208143716588644,0.20750621679475262,0.7821187320044569,4.82200172065853
2019-02-01,0.072591901924284,0.024280616126250175,0.20673268798424027,0.7826449667307365,4.785738000337521
2019-02-04,0.07316747070888281,0.02440041043811667,0.20693405782092678,0.7820113438713491,4.79102557300659
2019-02-05,0.07471468274020415,0.02415738425692874,0.20622084555886375,0.782810859557965,4.846248527725617
2019-02-06,0.07419404012058219,0.024307496302780743,0.20668193032777107,0.7822239179816615,4.823930825099278
2019-02-07,0.07360476465852069,0.024001476614867918,0.20552335783181908,0.7834730183996392,4.856784133087082
2019-02-08,0.0732471465707782,0.023934011052608176,0.20437596088583584,0.7846809622471586,4.820317169144976
2019-02-11,0.07289107789206178,0.02409728590076712,0.2047442414261718,0.7845149966444979,4.7860813482828695
2019-02-12,0.07330885379302031,0.02370218279580863,0.2032583443185826,0.786451243562378,4.816314596481662
2019-02-13,0.07297913763427034,0.023899158848037953,0.203846580887038,0.7860504527495932,4.786802141785649
2019-02-14,0.07277839250140176,0.023867781164699054,0.20373110129453492,0.7858802030743578,4.794704063020963
2019-02-15,0.07272072847331904,0.023724502836219657,0.20337091829995077,0.7867294146588988,4.79918127996494
2019-02-19,0.07241308994496971,0.02369362250698163,0.20294279055043174,0.7870690898836425,4.781494074875777
2019-02-20,0.07258052499869844,0.023709782407018473,0.20314820612485462,0.7865557811352629,4.784782849853113
2019-02-21,0.07285857132958581,0.023800090648076096,0.203718967618029,0.7862540911236087,4.763926062885626
2019-02-22,0.07282019598213685,0.02376718940348148,0.20356899603324466,0.7865425738076224,4.761484662373944
2019-02-25,0.07320386138304942,0.023721313050240788,0.20366252060775483,0.7863422096845876,4.758012913906324
2019-02-26,0.07254398382889775,0.023769877763535823,0.20444995351924544,0.7858604941005249,4.732545142798166
2019-02-27,0.07259269536998779,0.02369548213162508,0.20491868741563277,0.7853068848929912,4.740210286844256
