,mu,omega,alpha[1],gamma[1],beta[1]
2019-01-04,0.028091391405696192,0.03703733455031765,0.003346005654044749,0.315305815020554,0.7876288956049803
2019-01-07,0.028348960453675263,0.0369592300518111,0.0026199372126457375,0.3144888487368281,0.788364221016512
2019-01-08,0.02875117817065941,0.036949546796190315,0.002333028364874205,0.3142186318138106,0.7884524329630714
2019-01-09,0.028766719476690687,0.03704375219891729,0.001960840619631809,0.31421068274796526,0.7883210567939205
2019-01-10,0.02910585692852112,0.03718813860982457,0.001928544184983437,0.3145110524800319,0.7876521227848422
2019-01-11,0.029323021813246083,0.03742511569189401,0.0020393503864348773,0.3152032139139376,0.7865535888904505
2019-01-14,0.029276311640796603,0.0376323116991661,0.0023392863751456033,0.31587367124965626,0.7854940813437612
2019-01-15,0.03011498458949512,0.03782736917993583,0.0027276869258258877,0.3192145120632109,0.7838303618000444
2019-01-16,0.029899680228194465,0.03799350525888394,0.0027737463129151657,0.3191827077882793,0.7832531428282378
2019-01-17,0.03019571923011514,0.037876983287986006,0.0026345351244254417,0.3178870233753163,0.7838371719356442
2019-01-18,0.030982467798556578,0.03713155860406294,0.0023136492310861416,0.3126525018729454,0.7874133920937613
2019-01-22,0.03007974208544745,0.036300293886950795,0.004085204062820084,0.3051579204675397,0.7909235658211675
2019-01-23,0.030222787486501014,0.03631877112756648,0.004081844122299109,0.30373625829097367,0.7910585734990357
2019-01-24,0.030471206470323475,0.03644581971865269,0.00454736948471173,0.3029700440096959,0.7903639546831074
2019-01-25,0.03092437459904973,0.036364169744519545,0.0045406825652100635,0.3016111024631224,0.7908097581964192
2019-01-28,0.031054466932247487,0.036233898514264076,0.004066620340580218,0.30517860140228337,0.7909016400928293
2019-01-29,0.031087907276837922,0.03626850537930249,0.004160490147852649,0.3041699352032122,0.7908474380115471
2019-01-30,0.031748276948102894,0.03608994944121378,0.0038175034722114387,0.3044879812416173,0.7915066129643201
2019-01-31,0.032473697478507486,0.035922717537517225,0.004113212754187791,0.30225265173479876,0.7922555238864141
2019-02-01,0.03213408007959552,0.03605055426302353,0.002514360052856472,0.3040235902350888,0.7924536158050715
